Ticker,Current Price,Market Cap,P/E Ratio,Dividend Yield,Yahoo Rating,Market Index Rating
CHN.AX,1.7300000190734863,675097920,,,,
CEL.AX,0.13500000536441803,293824800,2.7,,,
CGF.AX,8.489999771118164,5869951488,30.321428,3.53,,
CIA.AX,4.53000020980835,2415627264,25.166666,4.9,,
CCA.AX,0.08100000023841858,55635092,,,,
CHR.AX,0.052000001072883606,4180696,,,,
CC9.AX,0.09799999743700027,19551392,,,,
CHC.AX,23.020000457763672,10888390656,33.85294,2.12,,
CLW.AX,4.5,3221441792,26.470589,5.56,,
CQR.AX,4.190000057220459,2452788224,11.324325,5.92,,
CQE.AX,3.3399999141693115,1243214720,17.578947,4.61,,
CMX.AX,0.026000000536441803,33545722,,,,
CHW.AX,1.0,83463800,,,,
CHM.AX,0.0035000001080334187,9763680,,,,
CNU.AX,8.770000457763672,3827482368,877.00006,5.45,,
C79.AX,7.25,843254720,,,,
CTO.AX,0.007000000216066837,21000000,,,,
CCX.AX,0.0949999988079071,39000444,,,,
CVL.AX,1.2799999713897705,650915840,16.0,4.69,,
CL8.AX,0.013000000268220901,3488810,,,,
C7A.AX,0.003000000026077032,2229885,,,,
CU6.AX,3.0999999046325684,1171592192,,,,
CLZ.AX,0.0010000000474974513,3017700,0.0018181818,,,
CNQ.AX,0.23999999463558197,17338152,,,,
CWY.AX,2.700000047683716,6117822464,38.57143,2.37,,
CSX.AX,0.800000011920929,65056480,,,,
CVW.AX,0.5699999928474426,364899744,28.5,11.27,,
CPV.AX,0.23499999940395355,75228904,,,,
COV.AX,0.3700000047683716,47545000,,,,
CC5.AX,0.03200000151991844,58189440,Infinity,,,
CAM.AX,0.699999988079071,103653200,35.0,7.71,,
CIW.AX,0.41499999165534973,32002768,41.5,2.41,,
CUV.AX,10.800000190734863,548352704,15.0,0.46,,
CLG.AX,0.03500000014901161,18614750,,,,
CLV.AX,0.5400000214576721,90179464,18.000002,2.78,,
